UID	5m	10m	15m	20m	30m	40m	60m	80m
YAR027W		0.33	0.82	1.28	0.86	0.63	0.28	
YAR028W	0	0.21	0.3	0.26	-0.06	-0.18	-0.07	-0.01
YAR029W			-0.09		-0.17	-0.51	0.18	
YAR030C	0.72	-0.15	-0.09	-0.3	-0.32	-0.45	0.25	-0.12
YAR031W	0.32	-0.22	0.25	0.43	0.28	0.31	0.34	0.23
YAR033W	-0.06	0.1	0.23	0.24	0	-0.14	0.11	-0.01
YAR035W	0.31	-0.14	0.33	0.18	-0.07	0	0.06	0.08
YAR042W	0.19	-0.79	0.68	0.74	0.75	0.91	0.77	0.7
YAR044W	0.17	0.36	0.46	0.95	0.44	1.19	0.93	0.79
YAR047C		-0.64	-0.09	-0.34		-0.64	-0.15	-0.17
YAR050W	-0.2	-0.25	-0.2	-0.36	-0.22			
YAR053W	-0.07	-0.22	-0.17		-0.07	0.83		
YAR060C		0.39	0.21		0.21	0.04	0.11	0.04
YAR061W	-0.12	-0.06	-0.14		0.01	0.31		-0.47
YAR062W	-0.03	-0.84	0.21	0.37	0.32	0.62	0.6	0.75
YAR064W	-0.1	-0.09	-0.34	-0.54			-0.27	-0.17
YAR066W								
YAR068W	0.1	0.43	1.35	1.23	0.99	1.25	0.69	0.43
YAR069C	-0.1	-0.45	-0.01	-1			-0.69	-0.69
YAR070C	0.21	-0.3	-0.14	0.04	0.12	0.37	0.01	-0.3
YAR071W	-0.47	-1.51	-2	-2.18	-2.06	-0.81	-0.34	-0.09
YAR073W	-0.32	-1.43	-1.29	-1.6	-1.94	-1.18	-0.56	-0.54
YAR075W	-0.2	-0.89	-1.89	-1.03	-2.4	-1.47	-1	-0.94
YBL001C	-0.12	0.04	0.19	0.29	0.3	0.26	0.32	0.15
YBL002W	0.4	0.43	-0.49	-1.09	-1.79	-1.79	0.59	0.53
YBL003C	-0.03	-0.4	-1.12	-1.4	-2.06	-2.25	0.18	0.16
YBL004W	-0.1	0.16	-0.62	-0.67		-0.94	-0.32	-0.2
YBL005W	0.01	-2.18	-0.25	0.24	-0.09	-0.15	0.31	0.6
YBL005W-A	-0.23	-0.64	0.06	-0.4	-0.04	0.23	0.24	0.2
YBL005W-B	-0.04	-0.86	-0.09	-0.07	-0.32	-0.14	0.36	0.72
YBL006C	-0.47	-0.06	-0.07	-0.69	-0.17	-0.29	-0.2	-0.22
YBL007C	0.02	-0.55	0.8	0.56	-0.01	0.3	-0.01	0.08
YBL008W	0.05	-0.3	-0.37	-0.76	0.65	-0.08	-0.37	-0.71
YBL009W	-0.38	-1.29	-1.47	-1.6	-1.56	-1.22	0.19	0.15
YBL010C	-0.23	-0.17	-0.43	-0.89	-0.22	-0.56	-0.2	-0.14
YBL011W	-0.14	-0.29	0.12	-0.03	-0.54	-0.29	0.01	-0.17
YBL012C	-0.42	-1.06	0.16	-0.67	-0.25	-0.06	-0.34	-0.56
YBL013W	-0.07	-0.6	0.14	0.15	-0.25	-0.56	-0.04	0.01
YBL014C	-1.25	-0.71	-1	-1.74	0.42	-0.45	-0.23	-0.42
YBL015W	1.06	1.82	2.36	1.86	1.29	1.09	0.43	0.01
YBL016W	-1.18	-1.36	-0.84	-0.74	-0.4		-0.2	-0.47
YBL017C	1.08	-1.1	-0.06	0.09	-0.45	-0.4	-0.69	-2.6
YBL018C	-0.62	-0.94	-1.22	-2	-1.51		-0.06	0.24
YBL019W	-0.04	0.23	0.58	0.34	0.57	0.4	0.37	0.12
YBL020W	-0.62	-1.09	-0.81	-1.36	-1.12		-0.27	-0.45
YBL021C	0	-0.84	-0.15	0.19	0.28	0.48	0.29	0.48
YBL022C	-0.33	-0.76	0.49	0.7	0.6	0.53	0.41	0.24
YBL023C	-0.3	-1.12	-0.29	-0.04	-0.15	0.29	0.01	0.15
YBL024W	-1.15	-2.56	-2.32	-2.25	-1.94	-1.47	-0.86	-0.86
YBL025W	-0.42	-0.69	-0.34	-0.22	-0.27	-0.27	-0.09	0.16
YBL026W	-0.4	-0.81	-0.84	-1.12	-0.76	-0.89	-0.23	-0.06
YBL027W	-0.34	-1.64	-2.56	-2	-1.79	-2.06	-0.71	-0.09
YBL028C	-1.06	-2.56	-3.18	-4.32	-2.94	-2.18	-0.81	-0.38
YBL029W	-0.4	-0.32	0.01	-0.18	0.14	-0.22	0.21	0.2
YBL030C	0.21	0.97	1.23	0.81	0.9	1.3	0.26	0.16
YBL031W	0.12	-0.14	-0.3	-0.04	-0.45	-0.58	0.19	0.4
YBL032W	-0.03	0	0.1	-0.64	-0.45	-0.01	0.03	-0.01
YBL033C		0.61	0.48	0.04	0.06		-0.23	-0.07
YBL034C	0.28	-0.2	1.42	-0.57	-0.74	-0.51	-0.36	-0.56
YBL035C	-0.92	-1.84	-1.79	-1.79	-1.64		0.2	-0.07
YBL036C	-0.14	-0.23	-0.3	-0.51	0	-0.01	0.08	0.33
YBL037W	0.16	0.15	0.04	0.37	0.11		0.23	0.24
YBL038W	-0.03	0.55	0.51	0.12	0.74	0.34	0.21	0.1
YBL039C	-1.12	-5.06	-5.06	-4.06	-4.64	-2.4	-1.12	-0.94
YBL040C	0.15	0.45	0.46	0.26	0.15	0.04	0	0.19
YBL041W	0.21	0.06	0.59	0.82	1.03	0.48	0.44	0.56
YBL042C	-2.18	-3.84	-3.64	-3.64	-2.64	-0.49	-0.38	-1.09
YBL043W			0.12					
YBL044W			-0.89	-1.25				
YBL045C	0.33	0.97	1.65	1.6	1.29	0.96	0.59	0.59
YBL046W	0.08	0.1	-0.22	-0.22	-0.34	-0.58	-0.06	0.24
YBL047C	0.28	-0.35	0.94	0.86	0.58	0.78	0.18	-0.23
YBL048W	-0.27	-0.27	-0.04	0.08	0.11	0.44	-0.36	0
YBL049W	-0.22		1.1	0.82	1.11	0.99	0.24	0.19
YBL050W	0.01	0.36	0.53	0.57	0.68	-0.07	-0.23	0.33
YBL051C	-0.12	-0.79	-0.04	0.24	0.06	-0.34	-0.42	-0.36
YBL052C	-0.61	-1.29	-1.52	-1.56	-1.15	-0.3	-0.57	-0.06
YBL053W	-0.84	-0.49	-1.06	-0.69	-1.12	-0.97	-0.43	-0.3
YBL054W	-2.32	-3.64	-3.32	-4.32	-2.94		-1.64	-1.47
YBL055C	-0.89	-1.43	-1.12	-0.97	-0.94	-0.86		-0.34
YBL056W	-0.1	-0.01	0.49	0.21	0.2	0.04	-0.42	-0.14
YBL057C	-0.22	-0.43	-0.29	-0.22	-0.1	-0.62		0.28
YBL058W	0.07	0.34	0.72	0.6	0.84	0.57	0.14	0.39
YBL059W	-0.36	-0.3	-0.29	-0.2	0.04	-0.51		0.36
YBL060W	-0.54	-0.3	-0.09	-0.09	0.26	0.32	0.29	0.85
YBL061C	-0.94	-1.15	-0.58	-0.32	-0.18	-0.38	-0.22	-0.1
YBL062W	-1.06	-0.81	-0.6	-0.54	-0.12	0.01	-0.2	-0.03
YBL063W	0.01	-0.52	-0.3	-0.27	-0.21	-0.64	-0.09	0.42
YBL064C	2.05	2.92	3.57	3.76	3.74	2.15	1.27	1.5
YBL065W	-0.15		-0.42		-0.25	0.04	0.24	-0.97
YBL066C	-0.17	-0.32	-0.14	-0.1	-0.14	-0.47	-0.05	-0.14
YBL067C	-0.4	-1.79	-0.69	-0.43	-0.54	-0.12	-0.32	-0.51
YBL068W	-0.92	-2.47	-2.18	-2.12	-1.4	-1.09	-0.58	-0.4
YBL069W	-0.97	-2.06	-0.89	-0.58	-0.27	-0.14	0.14	0.08
YBL070C	-0.29	-0.67	-0.89	-1.25	-0.42		-0.64	-0.81
YBL071C	-0.42	-0.32	-1.06	-0.8	-0.68	0.43	0.12	-0.3
YBL072C	-0.15	-1.12	-2	-2.18	-1.84	-1.74	-0.84	-0.42
