UID	5m	10m	15m	20m	30m	40m	60m	80m
YEL017W	0.08	0.77		-0.04		0.3	0.42	0.26
YEL018W	0.29	-0.45	-0.84					
YEL019C	-0.42	-0.4		-0.58		-0.17	0.37	0.26
YEL020C	0.43	0.44	1.34					
YEL021W	-0.43	-0.54		-1.22		-0.92	0.31	-0.14
YEL022W	0.1	-0.45	-0.56		0.77			
YEL023C								
YEL024W	1.11	1.76	2.13	2.15	1.52	1.3	0.52	
YEL025C		-0.43	-0.5	0.03	-0.03		-0.27	0.14
YEL026W	-0.54	-1.69	-2.64	-2.06	-2.56	-1.6	-0.84	
YEL027W	-0.14	0.01	-0.3		-0.76			
YEL028W		-0.2	-0.67	-0.62	-0.38			
YEL029C	-0.4	-0.71	-0.79	-0.92			-0.22	-0.14
YEL030W		0.48	0.63	0.66	0.12		0.2	
YEL031W	0.03	0.18	-0.18	-0.22	-0.14	-1.06	-0.07	0.36
YEL032W	-0.2	-0.76	-0.81	-0.14	-0.47	-0.21	-0.78	
YEL033W	-0.12	0.16	-0.62	-0.76			-0.64	
YEL034W	0.07	0.03	-0.15	-0.34	-0.69	-0.38	-0.23	-0.49
YEL035C								
YEL036C	-0.45	-0.84	-0.67		-0.84	-0.15	-0.07	-0.09
YEL037C	-0.17	-0.09	0.24	-0.17	-0.01	0.18	-0.04	-0.15
YEL038W	0.15	0.68	0.7	0.34	-0.4	-0.42	-0.62	-0.71
YEL039C		2.36	2.3		1.58			
YEL040W	-1	-1.64	-1.18	-0.97	-1.29	-0.71	-0.92	-1.09
YEL041W			1.46	0.55	1.36			
YEL042W	-0.47	-1.56	-1.56		-1.94			
YEL043W	0.29		-0.27	-0.74	-0.22		-0.25	
YEL044W	-0.43	-0.94	-1.47	-1.22	-1.32	-1.09	-0.47	-0.04
YEL045C	-0.38		-1.6	-1.79	-1.25		-1.18	-1.06
YEL046C	-0.86	-1.79	-1.79	-1.89	-1.89	-0.94	-0.64	-0.62
YEL047C	0.11	0.37	0.73	0.16	0.16	0.68	0.43	0.04
YEL048C	-0.86	-1.51	-1.32	-1		-0.43	-0.22	
YEL049W	0	0.07	-0.18	-0.01	-0.38	0.03	0.01	-0.1
YEL050C	-0.49	-0.43	0.03	0.45		0.24	0.14	
YEL051W	-0.03	-0.38	-0.74	-0.51	-0.69	-1.29	-0.34	0
YEL052W	0.16	-0.22	0.01	0.12	0.04	-0.12	-0.4	-0.58
YEL053C	-0.25	-0.04	-1.25	-1.18	-1.29	-0.69	-0.89	-0.97
YEL054C	-0.42	-1.6	-2.32	-2.12	-1.89	-1.6	-1	-0.86
YEL055C	-0.77	-2.11	-2.42	-1.84	-1.89	-1.43	-0.92	-0.7
YEL056W	-0.43	-0.89	-0.4	-0.45	-0.51	-0.54	-0.34	-0.43
YEL057C	0.06	0.33	0.08	0.11	0.21	-0.14	-0.34	-0.23
YEL058W	-0.23	-0.71	-0.4	-0.15		0.29	0.14	-0.18
YEL059C-A								
YEL059W			0.11					
YEL060C	1.78	2.28	3.18	3.24	2.7	2.26	1.26	1.14
YEL061C			-0.4		-0.67		-1.56	-2.56
YEL062W	0.52			0.24	0.21	0.15	0.07	
YEL063C	-0.14	-0.62	-0.32	-0.47	-0.4	0	-0.42	-0.6
YEL064C				-0.25	-0.86	-0.29	-0.22	
YEL065W	-0.69	-0.84	-0.38	-0.92	-1.29	-0.62	-0.74	-0.94
YEL066W	-0.42	-0.15	-0.22	0.06	0.28	0.36	1	1.04
YEL067C	-0.25	-0.29	-0.38	-0.97	-0.04		-0.17	
YEL068C	-0.43	-0.1	-0.67	-0.54	-0.6	-0.58	-0.6	-0.6
YEL069C	0.01	-0.29	0.21	0.14	0.07	0.33	-0.22	
YEL070W		0.69	0.31	-0.18	-0.92	-0.6	-0.54	-0.71
YEL071W	0.25	0.51	1.15	1.1	1.17	0.88	0.15	
YEL072W		-0.76	-0.47	-0.09	0.34	0.04	0.06	
YEL073C	0.55	1.01	1.34	1.17	0.89	0.07	-0.18	-0.38
YEL074W	-0.81	-1.64	-0.76	-0.43	-0.47	-0.03	-0.1	
YEL075C	-0.74	-1.74	-0.97	-0.74	-0.79	-0.17	-0.29	-0.49
YEL076C	-0.71	-2	-0.94	-0.43	-0.74	0.1	-0.23	
YEL076C-A	-0.62	-1.84	-1.09	-0.6				
YEL076W-C								
YEL077C	-0.34	-0.47	-0.01	-0.23	-0.17	-0.27	-0.04	-0.25
YER001W	-0.29	-2.64	-2.06	-1.64	-1.51	-0.07	0.14	
YER002W	-0.6	-1.09	-1.72	-1.6	-0.87	-1.89	-0.38	0.42
YER003C	0.07	-0.54	-0.3	-0.64	-0.97	-0.6	0.1	
YER004W	-0.18	0.56	0.77	0.34	0.37	0.79	0.42	0.33
YER005W	-0.36	-1.22	-0.38	-0.49	-0.29	-0.04	0.01	-0.09
YER006W	-0.69	-2.47	-2.84	-2.84	-3.18	-2.18	-0.89	-0.84
YER007C-A	-0.22	-0.51	-0.84	-0.92	-0.56	-0.49	0.16	
YER007W	0.3	-0.6	-0.58	-0.32	0.08	-0.32	0.11	0.16
YER008C	-0.08	-0.07	0.29	-0.1	-0.02	0.02	-0.23	
YER009W	-0.09	0.01	-0.27	-0.74	-1	-0.94	-0.6	-0.54
YER010C	-0.36	0.31	-0.06	-0.47	-0.32	-0.47	-0.47	-0.81
YER011W	0.15	0.48	-0.13	0	-0.61	-0.69	-0.64	-0.51
YER012W	0.01	0.34	0.14	0.25	0.43	-0.04	-0.12	-0.14
YER013W	0.01	-0.48	-0.2	0.01	-0.09	-0.03	0.1	-0.12
YER014W			0.62		0.59			
YER015W		0.01	0.21		-0.18	0	-0.03	-0.2
YER016W	-0.12	0.08	-0.43	-0.34	-0.15	-0.49	-0.01	0.04
YER017C	-0.23	-0.19	0.26	0.2	-0.04	0.16	0.11	0.05
YER018C	0.18	0.49	0.15	-0.32	-0.09	0.06	0.01	
YER019C-A	-0.32	-0.42	-0.94	-0.94	-0.97		-0.18	-0.29
YER019W	0.14	0.07	0.41	-0.34	-0.36	0	0.31	0.25
YER020W	1.28	0.94	1.5	1.6	1.28	0.9	0.9	0.93
YER021W	0.11	0.29	0.55	0.7	0.63	0.3	0.21	0.28
YER022W	0.38	-0.22	0.03	0.3	0.21	-0.04	0.34	0.58
YER023W	0	0.19	0.31	-0.23	-0.58	-0.15	-0.12	-0.3
YER024W		-0.15	0.77	0.74	0.55	0.48	0.38	0.48
YER025W	-0.34	-2.06	-2.18	-1.94	-1.64	-0.89	-0.76	-0.62
YER026C	0.24	0.75	1.31	1.09	0.72	0.73	0.04	0.1
YER027C	0.32	0.65	0.8	0.62	0.55	0.18	0.23	0.11
YER028C	0.73	-0.71	-1.03	-0.81	-0.81	-0.67	-0.17	0.07
YER029C	-0.22	-0.58	-0.86	-0.56	-0.34	-0.64	-0.12	0.16
YER030W	0.55	0.3	0.04	0.86	0.9	0.11	0.87	1.43
YER031C	-0.1	-0.07		-0.43	0	-0.23	0.21	0.39
YER032W	-0.27	-0.62	-0.49	-0.71	-0.71	-0.45	-0.14	0.11
YER033C	1.37	1.62			2.24			
YER034W	0.46	0.19	0.43	0.52	0.08	-0.1	0.32	0.38
YER035W	1.77	2.28		1.49	1.7	1.31	1.31	1
YER036C	-0.23	-1.6	-1.64	-1.47	-1.56	-0.86	-0.18	-0.25
YER037W	3.01	3.14		3.36	3.74	1.93	1.43	2.16
YER038C	1.65	2.03	1.77	2.48	1.86	0.96	1.25	1.73
YER039C		0.5		0.19		0.39	0.21	0.03
YER040W	0	-0.23	0.14	0.15	-0.14	-0.04	0.24	0.61
YER041W		0.12	0.91			0.66	0.41	0.5
YER042W	-0.36	-0.81	-0.89	-0.58	-0.09	-0.06	0.43	0.29
YER043C	-0.14	-1.09	-1.29	-1.56	-1.43	-0.89	-0.51	-0.54
YER044C	0.21	0.81	0.9	0.68	0.5		0.3	0.26
YER044C-A								
YER045C	-0.49	-0.67	-0.74	-0.43	-0.4	-0.17	-0.01	-0.14
YER046W		0.15	-0.17	-0.36	-0.12		0.03	0.28
YER047C	0.16	-0.67	0.28	0.42	0.26	0.15	-0.06	-0.32
YER048C	0.29	0.42	0.51	0.83	0.69		0.34	0.55
YER049W	-0.97	-3.47	-2.94	-2.32	-1.94	-1.15	-0.6	-0.27
YER050C	0.08	0.23	0.1	0.32	0.54	-0.29	0.18	0.45
YER051W	-0.17	-0.25	-0.07	0.08	-0.01	0.03	-0.23	0.07
YER052C	-0.32	-1.06	-0.86	-1.06	-0.69	-0.22	-0.36	-0.38
YER053C	2.22	2.39	2.6	2.64	1.87	0.82	0.71	1.06
YER054C	3.87	4.62	5.71	4.95	4.5	2.32	-1.74	
YER055C	-0.4	-1.32	-1.74	-1.79	-1.79	-0.81	-0.6	-0.74
YER056C	-1.94	-3.64	-2.64	-2.32	-2.18	-0.76	-0.74	-0.74
YER056C-A	-0.47	-1.03	-2.18	-1.84		-2.18	-1	
YER057C	-0.18	0.28	0.11	-0.79	-0.56	-0.32	-0.71	-1.12
YER058W	0.31	0.95	0.99	1.41	1.7		0.7	0.99
YER059W	0.32	0.36	0.64	0.53	0.66	0.19	0.12	0.15
YER060W	-0.72	-1.66	-1.52	-1.6	-1.46	-0.54	-0.59	-0.67
YER060W-A	-1.09	-3.06	-2	-0.6	-1.22		-0.24	
YER061C	-0.34	0.3	0.54	0.41	0.86	1.02	0.62	0.5
YER062C	1.4	2.31	2.65	2.06	2.18		1.28	1.01
YER063W	-0.3	0.04	0	-0.3	-0.09	-0.04	-0.1	-0.34
YER064C	-0.17	-0.47	0.14	0.38	0.26	0.42	0.49	0.08
YER065C	0.3	0.38	0.77	0.66	0.69	1.08	0.77	0.75
YER066C-A								
YER066W	-0.18	0.08	0.41	0.31	0.28	0.07	0.14	-0.09
YER067W	4.12	4.09	5.52	5.61	4.74	2.15	1.14	0.9
YER068W	-0.1	-0.67	0.1	0.46	0.55	0.03	0.3	-0.15
YER069W	-0.06	-0.18	-0.09		0.34	0.69	1.28	1.49
YER070W	-1	-3.84	-3.47	-2.64	-2.32	-0.17	0.79	0
YER071C	-0.45	-0.27	-0.71		-0.56	-0.62		
YER072W	-0.29	-0.76	-0.64	-0.47	-0.56	-0.29	-0.09	-0.22
YER073W	-0.58	-1.94	-1.69		-1.56	-0.62		
YER074W	-0.67	-1.89	-2.25	-2.06	-1.84	-1.74	-0.89	-0.49
YER075C	-1.36	-1.43	-1.09	-0.92	-0.69		-0.18	
YER076C	-0.27	-0.38	0.26	0.15	0.32	-0.1	-0.04	0.04
YER077C	-0.62	-0.42	-0.03	-0.43	0.15		0.15	0.88
YER078C	-0.36	-0.36	0.21	0.33	0.03	-0.54	-0.67	-0.58
YER079W	1.7	2.59	2.44	2.46	2.6		0.9	1.08
YER080W	0.19	-0.04	0.51	0.9	0.75	-0.06	0.21	0.32
YER081W	-0.38	-0.17	0.11	0.26	0.38	0.44	0.46	0.57
YER082C	-1.09	-3.64	-3.06	-2.25	-1.94	-1.36	-0.4	-0.18
YER083C	-0.29	0.12	0.52	0.08	-0.01	0.37	-0.38	-0.29
YER084W							-1.4	-1.06
YER085C				-1.6				
YER086W	-0.34	-1.74	-1.74	-1.89	-1.94	-1.32	-0.64	-0.42
YER087C-A	-0.2	0.16	-0.54	-1.22	-1.09	-0.71	-0.34	-0.62
YER087W	-0.03	-0.27	0.88	0.93	1.33	0.48	0.3	0.12
YER088C	0.44	0.81	1.21	0.77	0.25	0	0.39	0.39
YER089C	-0.17	-0.81	-0.24	-0.06	-0.22	-0.05	-0.16	-0.51
YER090W	-0.04	-0.67	-0.49	-0.56	-0.45	-0.64	0.03	0.24
YER091C	-0.89	-2.56	-0.51	0.9	2.46	3.09	1.64	0.96
YER092W	-0.14	0.01	-0.03	0.12	0.4	-0.15	0.4	0.49
YER093C		-0.69	-0.3	-0.15		0.32	0.16	-0.18
YER093C-A	0.06	0.28		0.48	0.62	0.1	-0.17	
YER094C	-0.1	0.28	0.44	0.52	0.36	-0.49	-0.29	-0.14
YER095W	-0.06	-0.17	0.62	0.61	0.46	0.88	0.49	0.1
YER096W	0.38	0.57	1.3	1.34	1.7	0.88	0.36	-0.2
YER097W	-0.3	-1.06	-0.07	0.04	-0.04	0.14	-0.32	-0.45
YER098W	0.52	0.86	1.31		0.94	0.73	0.54	0.15
YER099C	-0.67	-0.97	-0.62	-0.45	-0.54	-0.3	-0.3	0.03
YER100W	-0.3	-0.17	-0.25	-0.32	0.12	-0.18	-0.1	-0.01
YER101C	0.16	0.21	0.8	0.81	0.87	0.64	0.39	0.24
YER102W	-0.4	-1.06	-1.79	-2.25	-1.74	-1.64	-1.03	-0.69
YER103W	4.93	5.86	6.21	4.96	5.14	2.61	1.96	1.68
YER104W	-0.36	-0.51	-0.06	-0.67	-0.15	-0.47	-0.42	-0.29
YER105C	-0.45	-1.69	-0.34	-0.1	-0.2	0.24	0.38	0.41
YER106W			-0.29	-0.74	-0.3			
YER107C	-0.67	-1.06	-0.79	-0.15	-0.69	-0.79		0.65
YER109C	-0.15	-0.79	-0.32	-0.1	-0.4	-0.25	-0.22	-0.07
YER110C	-0.25	-2.47			-3.06	-2		-0.74
YER111C	0.17	-0.24	-0.03	0.28	-0.16	0.14	0.46	0.23
YER112W	-0.18	-0.62	-0.84	-0.43	-0.34	-0.76	-0.1	0.31
YER113C	-0.58	-1.15	-0.25	-0.07	-0.38	-0.15	0.16	0.25
YER114C	-0.3	-0.94	-0.51	-0.86	-0.43	-0.27	0	0.01
YER115C	-0.09	-0.71	-0.67	-0.34	-0.51	-0.74	-0.03	0.04
YER116C	0.08	0.19	0.24	0.18	0.16	-0.07	-0.04	0.14
YER117W	-0.43	-1.32	-2.06	-1.89	-1.84	-1.74	-0.58	-0.23
YER118C	-0.6	-0.92	-0.84	-1.22	-0.97	-0.38	-0.18	-0.22
YER119C	0.85	1.47	2.56	2.29	2.04	1.98	1.6	1.28
YER119C-A	-0.12	-0.62	-0.74	-0.29	-1.06	-0.49	-0.4	-0.62
YER120W	-0.18	-0.1	-0.2	-0.58	-0.69	-0.36	-0.4	-0.47
YER121W			1.39	1.16	0.94			
YER122C	-0.34	-0.71	-0.6	-0.42	-0.4	-0.32	-0.07	-0.04
YER123W	0.06	-0.94	-0.34	-0.3	-0.6	-0.74	-0.06	0.06
YER124C	-0.51	-0.38	0.57	0.78		1.48	1	0.59
YER125W	-0.17	-0.92	0.29	0.21	-0.17	-0.22	-0.23	-0.29
YER126C	-1.36	-2.56	-3.32	-2.64	-2.56	-1.47	-0.69	-0.49
YER127W	-1.47	-2.94	-3.06	-2.4	-1.89	-1.51	-0.27	-0.07
YER128W	-0.71	-0.32	-0.17	0			0.45	0.81
YER129W	-1.06	-1.89	-0.92	-0.76	-1.03	-0.97	-0.51	-0.34
YER130C	-0.27	0.01	0.33	-0.06		0.31	0.53	0.19
YER131W	0.15	-0.74	-2	-1.79	-1.79	-2	-0.22	-0.17
YER132C	-1.06	-0.69	-0.7	-1.43		0.1	-0.3	-0.43
YER133W	0.21	-0.03	0.24	0.38	0.04	-0.62	0.07	0.03
YER134C	0.17	0.74	0.52	0.94	0.49	0.16	0.38	-0.01
YER135C					-0.03			
YER136W	-0.03	-0.12	0.52	0.49	0.16	0.1	0.16	0.04
YER137C		-0.45	-2.18	-1.25	-0.56		-0.01	0.57
YER138C	0.05	-0.83	0.06	0.03	-0.17	-0.23	0.29	0.33
YER139C	-0.27	-0.23	0.23	0.5	0.34	0.28	0.5	0.54
YER140W	-0.86	-0.97	-0.76	-1.25	-0.81	-0.23	-0.74	-0.43
YER141W	0.54	0.73	1.74	1.78	1.08	1.06	0.7	0.62
YER142C	0.7	1.21	1.37	1.39	1.51	1.02	0.61	0.63
YER143W	0.49	0.75	1.39	1.65	1.23	1.1	0.9	0.7
YER144C		0.12			0.67	0.28	0.38	0.24
YER145C	-0.34	-0.76	-0.38	-0.79	-1.4	0	0.79	0.48
YER146W	-0.47	-0.58	-1.12	-0.84	-0.97		-0.54	-0.25
YER147C	-0.76	-0.74	-0.56	-0.6	-0.67		-0.23	-0.03
YER148W	-0.79		-1	-1.15	-0.76	-0.54	-0.2	-0.3
YER149C	-0.23	-0.97	-1.47	-1.06	-1.18		0.14	0.29
YER150W	4.27		5.39	4.07	3.96	3.19	2.05	1.6
YER151C	0	-0.49	0.1	0.5	0.15		0.56	0.72
YER152C	0.18	0.65	0.84	0.08	0.49	1.2	0.88	0.21
YER153C			0.31	-0.23		0.58	-0.05	-0.12
YER154W	-0.22	0.33	0.63	0.11	0.46	0.92	0.42	0.01
YER155C	-0.15	-1.18	-0.26	-0.32	-0.27	-0.04	-0.07	-0.22
YER156C	-1.32	-2.12	-2.64	-2.84	-2.4	-1.29	-1.12	-1.36
YER157W	0.21	-0.23	0.15	0.2	0.12		0.42	0.72
YER158C	0.89		1.94	1.07	1.44	1.52	0.59	
YER159C	0.08	-0.67	-0.51	0.3	0.33	-0.58	0.38	1.08
YER160C	0.02	-1.14	-0.09	-0.12	-0.17	-0.58	0.1	0.2
YER161C	-0.3	-0.97		0.14	-0.1	-0.43	-0.12	0.03
YER162C	0.54	0.72	1.26		1.09		-0.06	
YER163C	0.16	0.56		1.52	1.5	0.98	1.01	1.18
YER164W	-0.29	-0.67	-0.54	-0.4	-0.54	-0.18	-0.22	-0.09
YER165W	-0.56	-2.64	-2.25	-2.18	-2.18	-1.56	-0.84	-0.94
YER166W	-0.32	-0.26	-0.07	-0.3	-0.18	0.16	-0.29	-0.2
YER167W	-0.67	-1.29		0.19	0.03	0.01	-0.14	-0.04
YER168C	-0.62	-1	-0.69	-0.62	-0.6	-0.54	-0.4	-0.17
YER169W	-0.22	-0.84		0.31	-0.1	-0.45	-0.04	-0.94
YER170W	-0.15	-0.01	0.23	0.19	0.19		0.15	
YER171W	-0.49	-1.69	-1.06	-0.76	-0.62	-0.71	-0.34	0.11
YER172C	0.04	-0.64	-0.24	-0.27	-0.41	-0.34	0.26	0.19
YER173W	-0.69	-0.94	-0.54	-0.64	-0.42	-0.69	0	0.18
YER174C	-0.84	-0.58	-0.64	-0.92	-0.6	-0.4	-0.69	
YER175C	-0.69	0.04	0.94	1.08	1.06	0.31	0.31	0.69
YER176W	0.7	-0.01	-0.36	-0.49	-0.12	0.06	-0.22	
YER177W	0.39	0.94	1.18	1.37	1.01	0.44	0.34	0.4
YER178W	-0.04	0.1	0.56	0.19	0.31	0.61	-0.04	
YER179W			0.76	0.68	1	0.15	-0.06	-0.23
YER180C	-0.47	0.21	-0.38	-0.45	-0.29	-0.3	-0.18	-0.3
YER181C			-0.49	-0.25		-0.71	-0.56	-0.71
YER182W	0.3	0.95	0.9	1.16	1.2	0.51	0.11	
YER183C			-0.54	-0.12	-0.09	0.06	-0.04	-0.34
YER184C	-0.34	-0.54	-0.14		-0.04	-0.07	-0.18	-0.29
YER185W			-0.89	-0.54	-0.56	0.06	-0.34	-0.74
YER186C	-0.71	-0.67	-1.03	-1.32	-1.22	-1.12	-0.74	-0.97
YER187W	-0.23	-0.76	-0.81	-0.42	-0.34	-0.15	-0.64	-1.03
YER188W	-0.32	0.24	0.03	-0.4	-0.1	-0.4	-0.38	-1
YER189W	-0.71	-2.47	-1.18	-0.54	-0.71	0.11	-0.12	-0.29
YER190W	-0.43	-0.43	-0.2	-0.23	-0.03	0.19	-0.04	-0.29
YFL001W	-1.25	-1.34	-1.16	-0.83	-0.77	-0.4	-0.39	-0.53
YFL002C	-1.43	-2.47	-2.4	-2.12	-1.64	-1.15	-0.56	-0.47
YFL003C		-0.49	-0.18	-0.38	-0.62			
YFL004W	-0.32	-0.89	-0.86	-1.36	-0.97	-0.54	-0.43	-0.43
YFL005W	-0.07	-0.1	0.06	0.04	-0.25	-0.64	-0.3	-0.04
YFL006W	-0.3	0.04	0.32	-0.03	0.31	0.32	-0.38	-0.32
YFL007W	-0.25	-1.3	-0.52	-0.06	-0.41	-0.07	-0.19	-0.23
YFL008W	-0.2	-0.51	-0.6	-0.58	-0.34	-0.22	0.3	-0.07
YFL009W	-0.27	-0.74	0.2	0.2	-0.03	0.12	0.1	0.24
YFL010C	0.14	0.6	0.69	0.83	0.66	0.41	0.58	0.46
YFL011W			0.87	1.96	-0.29	0.9	-0.69	-1.6
YFL012W			-0.45	-0.3				
YFL013C	-0.15	-0.18	0.12	0.2	0.44	0.39	0.18	0.1
YFL013W-A								
YFL014W	4.72	5.87	6.69	6.75	6.9	5.84	5.72	4.98
YFL015C		0.28	1.04			0.5		
YFL016C	2.9	3.03	2.86	2.74	1.93	1.26	1.71	1.47
YFL017C	0.01	0.06	-0.18	-0.49	-0.25	-0.51	-0.03	0.26
YFL018C	0.23	0.18	0.92	1.07	0.7	0.2	0.73	0.6
YFL019C	0.34	-0.07	0.6	0.38		0.23		
YFL020C	-0.03	0	0.12	0.07	-0.14	-0.42	0.1	-0.09
YFL021W	0.39	0.42	0.96	0.57	0.58	0.93	0.43	-0.07
YFL022C	-0.23	-1.03	-1.12	-1.03	-0.97	-0.84	-0.04	-0.12
YFL023W	-1.29	-2.06	-2	-1.84	-1.25	-0.58	0.07	0.19
YFL024C	-0.17	0.24	-0.29	-0.24		-0.23	-0.71	0.19
YFL025C	-0.29	-0.79	-0.09	-0.51		0.11	-0.23	-0.2
YFL026W	-0.49	-1.22	-0.06	-0.22	-0.49	-0.4	-0.64	-0.84
YFL027C	-0.62	-0.67	-0.27	-0.58		0.19	0.18	0
YFL028C	-0.17	-0.38	-0.15	-0.25	-0.3	-0.94	-0.1	0.06
YFL029C	-0.07	1.04	0.72	0.7	0.97	0.6	-2.18	0.4
YFL030W	0.76			1.15	1.29	0.56	0.61	0.36
YFL031W	-0.32	-0.23	0.48	-0.51	-0.14	0.42	-0.3	-0.25
YFL032W	0.14	-0.79	0.28	0.03	-0.27	-0.22	-0.14	-0.32
YFL033C	-0.03	0.02	0.43	0.25		0.25	-0.32	0.14
YFL034W	0.16	0.33	0.39	0.32	0.1	-0.29	0.15	0.21
YFL036W	0.15	0.08	1.05	1.24		0.5	0.36	0.37
YFL037W	-0.1	0.19	0.53	-0.58	-0.01	0.38	0.23	0.37
YFL038C	0.08	0.14	0.31	0.67	0.41	0.03	0.51	0.55
YFL039C	-0.01	0.29	0.52	0.07	-0.03		-0.3	-0.2
YFL040W		0.44	0.69	0.39	0.43			0.07
YFL041W	-0.67	-0.54	0.18	-0.27	-0.38		-0.27	-0.43
YFL042C	0.65	0.9	2.01	2.18	1.9	1.3	1	0.76
YFL043C	0.73	1.58	1.88	1.63	1.49		0.5	0.53
YFL044C	-0.15	0.5	1.37	1.69	1.36	1.29	1.13	0.84
YFL045C	-0.29	-0.71	-1.12	-1.74	-1.89	-1	-0.47	-0.47
YFL046W	-0.12	-0.29	-0.34	0.06	-0.23	-0.67	0.12	0.15
YFL047W	-0.54	-0.76	0.08	-0.14	-0.15	0.19	0.08	-0.07
YFL048C	-0.04	0.03	0.41	0.62	0.28	0.3	0.26	0.36
YFL049W	0.04	-0.17	0.1	0.15	0.23	0.7	0.33	0.63
YFL050C	-0.01		-0.09			0.21	-0.43	
YFL051C			1.88	0.38			-1	
YFL052W			2.33	1.17				
YFL053W	1.23		2.05	1.23			-0.18	
YFL054C	1.86	2.45	2.83	2.29	2.11		0.7	
YFL055W			0.96	0.12			0.14	
YFL056C	-0.17	0	0.11	0.03	-0.18		0.2	
YFL057C	-0.12	0.31	-0.09	-0.85	-0.23	-0.08	-0.41	-0.15
YFL058W			0.52	0.37				
YFL059W	-0.45		-0.12	-0.92		0.37	0.78	
YFL060C	-0.01	0.19	0.1	0.14	0			0.67
YFL061W			0.04	-0.62		0.18	0.5	
YFL062W	0.2	0.14		0.79	0.43	0.23	0.12	-0.18
YFL063W	-0.51	-0.42	-0.36	-0.58	-0.62	0.04	-0.18	-0.3
YFL064C	-0.76	-2.06		-0.56	-0.81	-0.25	-0.22	-0.2
YFL065C	-0.74	-1.15	-0.64	-0.58	-0.69	-0.09	-0.22	-0.34
YFL066C	-0.27	-0.54		0.62	0.29	0.38	0.31	0.37
YFL067W	-0.25	-0.36	0.2	0.15	0.15	0.5	0.3	-0.07
YFL068W	-0.3	-0.12	0.24	0.25	0.04	0.28	0.19	0.19
YFR001W	-0.86	-2.12	-2.74	-2.25	-1.56	-1.84	-0.67	0
YFR002W	-0.74	-1.69	-0.81	-0.2	-0.69			-0.18
YFR003C	0.15	0.98	1.01	1.16	0.96	0.14	0.36	0.6
YFR004W	-0.14	0.24	0.53	0.92	0.52	-0.14	0.37	0.3
YFR005C	-0.58	-0.86	-0.92	-0.97	-1	-0.58	-0.89	-0.94
YFR006W	-0.06	-0.34	0.18	0.48	0.28	-0.4	-0.06	0.21
YFR007W	-0.47	-0.27	0.16	0.01	0.33	0.24	-0.01	
YFR008W	0.03	0.01	0.21	0.28	0.11	-0.6	-0.12	0.06
YFR009W	-0.32	-0.69	-0.36	-0.51	-0.47	-0.43	-0.43	
YFR010W	0.11	0.12	0.59	1.28	0.94	0.07	0.19	0.43
YFR011C	-0.22	0.3	0.15	0.32	0.63	0.1	0.28	0.58
YFR012W								
YFR013W	-1.03	-1	-0.62	-0.6	-0.38	-0.3	-0.56	-0.54
YFR014C	1.03	1.51	1.92	2.18	1.61	0.3	0.39	0.49
YFR015C	2.97	2.96	4.02	3.29	1.76	1.05	0.12	0.4
YFR016C	0.12	0.2	0.58	1.29	1.18	0.78	0.73	0.69
YFR017C	3.17	3.43	3.91	3.46	2	1.33	0.52	0.72
YFR018C	-0.3	-1.6	-0.76	-0.62	-0.74	-0.25	-0.27	-0.62
YFR019W	1.1	0.49	0.03	0.18	0.03	0.06	-0.4	
YFR020W		-0.38	-0.25	-0.2	-0.43	-0.1	-0.56	-0.97
YFR021W	0.06	0.33	0.83	0.51	0.32	0.24	0.14	-0.06
YFR022W	-0.27	-1.22	0.3	0.2	0.04	0.45	0.18	0.32
YFR023W		0.49	0.16	0.46				
YFR024C	0.18	0.42	1.06	1.14	0.81	1.04	0.63	0.5
YFR024C-A								
YFR025C	-0.18	-0.01	0.26	0.18	0.31	0.08	0.14	0.03
YFR026C	0.03	0.11	-0.2	-0.01	-0.3	0.19	0.26	0.14
YFR027W								
YFR028C	-0.18	-0.94	-0.76	-0.56	-0.6	-0.38	0.15	0.26
YFR029W	0.16	0.58	0.41	0.46	0.36	0.11	0.26	0.16
YFR030W	-0.2	-0.92	-0.04		0.33	0.61	0.3	-0.03
YFR031C	0.61	-1		-0.43	-0.32			0.25
YFR031C-A	-0.32	-1.15	-2.06	-2.4	-2.18	-1.56	-0.81	-0.69
YFR032C			-0.38		-0.69		-1.18	-2.56
YFR033C	0.23	1.05	0.76	1.31	1.19	0.25	0.64	0.76
YFR034C	-0.76	-0.67	-0.71	-0.62	-0.17	0.61	0.56	0.03
YFR035C	-0.51	-1	-0.84	-0.74	-0.74	-0.34	-0.09	-0.06
YFR036W	-0.54	-0.2	-0.64	-0.54	-0.04	0.18	0.11	
YFR037C	-0.15	-0.69	-0.45	-0.18	-0.23	-0.84	-0.09	-0.04
YFR038W	-1.18	-1.15	-1.12	-1.64	-0.94	-0.69	-0.6	-0.74
YFR039C	-0.15	-0.45	-0.06	-0.29	-0.29	-0.29	-0.09	0.18
YFR040W	-0.07	-0.23	0.31	0.19	0.19	0.26	-0.43	-0.67
YFR041C	0.01	0.11	-0.01	0.25	0.16	0.15	0.29	0.03
YFR042W	0.16	0.95	1.1	0.72	0.54	0.58	0.77	0.53
YFR043C	0.31	0.04	0.12	0.36	0.36	0.62	0.2	0.36
YFR044C	0.12	0.48	0.74	0.39	0	0.41	0.32	-0.1
YFR045W		0.53	0.93	0.78	0.7	0.54	0.1	0.19
YFR046C		-0.04	-0.06	0.06	0.08	-0.22	0.55	0.31
