TF	Gene	Interaction
ARGR	b3168	-1
ARGR	b3237	-1
ARGR	b1746	1
ARGR	b1747	1
ARGR	b0032	-1
ARGR	b1745	1
ARGR	b3166	-1
ARGR	b3169	-1
ARGR	b3164	-1
ARGR	b3165	-1
ARGR	b2309	-1
ARGR	b3214	-1
ARGR	b3213	-1
ARGR	b2307	-1
ARGR	b2308	-1
ARGR	b3170	-1
ARGR	b3212	-1
ARGR	b3171	-1
ARGR	b2306	-1
ARGR	b0860	-1
ARGR	b4245	-1
ARGR	b4113	-1
ARGR	b0114	-1
ARGR	b2669	-1
ARGR	b0063	-1
ARGR	b0062	-1
ARGR	b1901	-1
ARGR	b0061	-1
ARGR	b0076	-1
ARGR	b0064	-1
ARGR	b4244	-1
ARGR	b3441	-1
ARGR	b0115	-1
ARGR	b0864	-1
ARGR	b1900	-1
ARGR	b1902	-1
ARGR	b2203	-1
ARGR	b3506	-1
ARGR	b2021	-1
ARGR	b2206	-1
ARGR	b2022	-1
ARGR	b3369	-1
ARGR	b1922	1
ARGR	b2025	-1
ARGR	b2018	-1
ARGR	b2023	-1
ARGR	b4255	-1
ARGR	b1082	1
ARGR	b0112	-1
ARGR	b2760	-1
ARGR	b2759	-1
NANR	b3225	-1
NANR	b3221	-1
NANR	b3224	-1
NANR	b3222	-1
NANR	b3223	-1
NANR	b4278	-1
NANR	b1224	-1
NANR	b2365	-1
NANR	b1225	-1
NANR	b1226	-1
ARGP	b3701	1
ARGP	b3700	1
ARGP	b3702	1
ARGP	b2235	1
ARGP	b2234	1
ARGP	b0313	1
ARGP	b3365	1
ARGP	b0312	1
ARGP	b3366	1
ARGP	b0311	1
FIS	b2287	1
FIS	b2286	1
FIS	b2282	1
FIS	b2288	1
FIS	b2281	1
FIS	b2283	1
FIS	b2285	1
FIS	b2279	1
FIS	b3276	1
FIS	b3853	1
FIS	b3273	1
FIS	b2278	1
FIS	b3852	1
FIS	b3277	1
FIS	b2277	1
FIS	b0440	1
FIS	b2284	1
FIS	b1531	1
FIS	b0244	1
FIS	b3123	1
FIS	b0216	1
FIS	b2231	1
FIS	b0116	1
FIS	b3171	1
FIS	b3168	1
FIS	b2280	1
FIS	b3166	1
FIS	b3165	1
FIS	b2348	1
FIS	b3167	1
FIS	b3799	1
FIS	b3796	1
FIS	b0665	1
FIS	b0664	1
FIS	b0668	1
FIS	b0666	1
FIS	b0672	1
FIS	b4000	1
FIS	b0673	1
FIS	b0536	1
FIS	b2235	1
FIS	b2234	1
FIS	b3797	1
FIS	b0971	1
FIS	b0744	1
FIS	b3545	1
FIS	b2967	1
FIS	b4111	1
FIS	b2189	1
FIS	b3979	1
FIS	b3978	1
FIS	b1231	1
FIS	b1230	1
FIS	b0745	1
FIS	b4068	-1
FIS	b4134	1
FIS	b1109	1
FIS	b4370	1
FIS	b4368	1
