TF	Gene	Interaction
MODE	b4381	-1
MODE	b0896	-1
MODE	b4384	-1
MODE	b0764	-1
MODE	b0763	-1
MODE	b0765	-1
ICLR	b4015	-1
ICLR	b4014	-1
ICLR	b4016	-1
TYRR	b2601	-1
TYRR	b0388	-1
TYRR	b2600	-1
TYRR	b0390	-1
TYRR	b0389	-1
TYRR	b0112	-1
TYRR	b0754	-1
TYRR	b4054	-1
FNR	b1221	-1
FNR	b1334	-1
FNR	b1109	-1
FNR	b1222	-1
FNR	b2278	-1
FNR	b2281	-1
FNR	b2279	-1
FNR	b2282	-1
FNR	b2277	-1
FNR	b2283	-1
FNR	b2280	-1
FNR	b2286	-1
FNR	b3908	-1
FNR	b2276	-1
FNR	b2552	-1
FNR	b2287	-1
FNR	b2284	-1
FNR	b2285	-1
FNR	b2288	-1
FNR	b1211	-1
FNR	b0827	-1
FNR	b0826	-1
FNR	b1212	-1
FNR	b1210	-1
LRP	b1246	-1
LRP	b1247	-1
LRP	b1245	-1
LRP	b1244	-1
LRP	b3769	-1
LRP	b1243	-1
LRP	b4376	-1
LRP	b3771	-1
LRP	b3772	-1
LRP	b3770	-1
LRP	b3460	-1
LRP	b2215	-1
LRP	b3766	-1
LRP	b4129	-1
LRP	b0889	-1
LRP	b3969	-1
LRP	b3971	-1
LRP	b4187	-1
PDHR	b0114	-1
PDHR	b0115	-1
PDHR	b0113	-1
PDHR	b0116	-1
NAGC	b1817	-1
NAGC	b1818	-1
NAGC	b1819	-1
NAGC	b1734	-1
NAGC	b0678	-1
NAGC	b1737	-1
NAGC	b1733	-1
NAGC	b0675	-1
NAGC	b1738	-1
NAGC	b0679	-1
NAGC	b1736	-1
NAGC	b1735	-1
NAGC	b0677	-1
NAGC	b4310	-1
NAGC	b0676	-1
NAGC	b4311	-1
ISCR	b2203	-1
ISCR	b0977	-1
ISCR	b2205	-1
ISCR	b0976	-1
ISCR	b2530	-1
ISCR	b2202	-1
ISCR	b0156	-1
ISCR	b0973	-1
ISCR	b0975	-1
ISCR	b3414	-1
ISCR	b2206	-1
ISCR	b0974	-1
ISCR	b2207	-1
